Episode 573/5000 | Total reward: -200.0
Episode 574/5000 | Total reward: -200.0
Episode 575/5000 | Total reward: -200.0
Episode 576/5000 | Total reward: -200.0
Episode 577/5000 | Total reward: -200.0
Episode 578/5000 | Total reward: -200.0
Episode 579/5000 | Total reward: -200.0
Episode 580/5000 | Total reward: -200.0
Episode 581/5000 | Total reward: -200.0
Episode 582/5000 | Total reward: -200.0
Episode 583/5000 | Total reward: -200.0
Episode 584/5000 | Total reward: -200.0
Episode 585/5000 | Total reward: -200.0
Episode 586/5000 | Total reward: -200.0
Episode 587/5000 | Total reward: -200.0
Episode 588/5000 | Total reward: -200.0
Episode 589/5000 | Total reward: -200.0
Episode 590/5000 | Total reward: -200.0
Episode 591/5000 | Total reward: -200.0
Episode 592/5000 | Total reward: -200.0
Episode 593/5000 | Total reward: -200.0
Episode 594/5000 | Total reward: -200.0
Episode 595/5000 | Total reward: -200.0
Episode 596/5000 | Total reward: -200.0
Episode 597/5000 | Total reward: -200.0
Episode 598/5000 | Total reward: -200.0
Episode 599/5000 | Total reward: -200.0
Episode 600/5000 | Total reward: -200.0
Episode 601/5000 | Total reward: -200.0
Episode 602/5000 | Total reward: -200.0
Episode 603/5000 | Total reward: -200.0
Episode 604/5000 | Total reward: -200.0
Episode 605/5000 | Total reward: -200.0
Episode 606/5000 | Total reward: -200.0
Episode 607/5000 | Total reward: -200.0
Episode 608/5000 | Total reward: -200.0
Episode 609/5000 | Total reward: -200.0
Episode 610/5000 | Total reward: -200.0
Episode 611/5000 | Total reward: -200.0
Episode 612/5000 | Total reward: -200.0
Episode 613/5000 | Total reward: -200.0
Episode 614/5000 | Total reward: -200.0
Episode 615/5000 | Total reward: -200.0
Episode 616/5000 | Total reward: -200.0
Episode 617/5000 | Total reward: -200.0
Episode 618/5000 | Total reward: -200.0
Episode 619/5000 | Total reward: -200.0
Episode 620/5000 | Total reward: -200.0
Episode 621/5000 | Total reward: -200.0
Episode 622/5000 | Total reward: -200.0
Episode 623/5000 | Total reward: -200.0
Episode 624/5000 | Total reward: -200.0
Episode 625/5000 | Total reward: -200.0
Episode 626/5000 | Total reward: -200.0
Episode 627/5000 | Total reward: -200.0
Episode 628/5000 | Total reward: -200.0
Episode 629/5000 | Total reward: -200.0
Episode 630/5000 | Total reward: -200.0
Episode 631/5000 | Total reward: -200.0
Episode 632/5000 | Total reward: -200.0
Episode 633/5000 | Total reward: -200.0
Episode 634/5000 | Total reward: -200.0
Episode 635/5000 | Total reward: -200.0
Episode 636/5000 | Total reward: -200.0
Episode 637/5000 | Total reward: -200.0
Episode 638/5000 | Total reward: -200.0
Episode 639/5000 | Total reward: -200.0
Episode 640/5000 | Total reward: -200.0
Episode 641/5000 | Total reward: -200.0
Episode 642/5000 | Total reward: -200.0
Episode 643/5000 | Total reward: -200.0
Episode 644/5000 | Total reward: -200.0
Episode 645/5000 | Total reward: -200.0
Episode 646/5000 | Total reward: -200.0
Episode 647/5000 | Total reward: -200.0
Episode 648/5000 | Total reward: -200.0
Episode 649/5000 | Total reward: -200.0
Episode 650/5000 | Total reward: -200.0
Episode 651/5000 | Total reward: -200.0
Episode 652/5000 | Total reward: -200.0
Episode 653/5000 | Total reward: -200.0
Episode 654/5000 | Total reward: -200.0
Episode 655/5000 | Total reward: -200.0
Episode 656/5000 | Total reward: -200.0
Episode 657/5000 | Total reward: -200.0
Episode 658/5000 | Total reward: -200.0
Episode 659/5000 | Total reward: -200.0
Episode 660/5000 | Total reward: -200.0
Episode 661/5000 | Total reward: -200.0
Episode 662/5000 | Total reward: -200.0
Episode 663/5000 | Total reward: -200.0
Episode 664/5000 | Total reward: -200.0
Episode 665/5000 | Total reward: -200.0
Episode 666/5000 | Total reward: -200.0
Episode 667/5000 | Total reward: -200.0
Episode 668/5000 | Total reward: -200.0
Episode 669/5000 | Total reward: -200.0
Episode 670/5000 | Total reward: -200.0
Episode 671/5000 | Total reward: -200.0
Episode 672/5000 | Total reward: -200.0
Episode 673/5000 | Total reward: -200.0
Episode 674/5000 | Total reward: -200.0
Episode 675/5000 | Total reward: -200.0
Episode 676/5000 | Total reward: -200.0
Episode 677/5000 | Total reward: -200.0
Episode 678/5000 | Total reward: -200.0
Episode 679/5000 | Total reward: -200.0
Episode 680/5000 | Total reward: -200.0
Episode 681/5000 | Total reward: -200.0
Episode 682/5000 | Total reward: -200.0
Episode 683/5000 | Total reward: -200.0
Episode 684/5000 | Total reward: -200.0
Episode 685/5000 | Total reward: -200.0
Episode 686/5000 | Total reward: -200.0
Episode 687/5000 | Total reward: -200.0
Episode 688/5000 | Total reward: -200.0
Episode 689/5000 | Total reward: -200.0
Episode 690/5000 | Total reward: -200.0
Episode 691/5000 | Total reward: -200.0
Episode 692/5000 | Total reward: -200.0
Episode 693/5000 | Total reward: -200.0
Episode 694/5000 | Total reward: -200.0
Episode 695/5000 | Total reward: -200.0
Episode 696/5000 | Total reward: -200.0
Episode 697/5000 | Total reward: -200.0
Episode 698/5000 | Total reward: -200.0
Episode 699/5000 | Total reward: -200.0
